long,lat,neighborhood,wths_increase
-87.90311052,42.44130537,9323100,$314.99
-87.90311243,42.44094871,9323100,$240.88
-87.90311415,42.440592,9323100,$405.39
-87.90256829,42.44288284,9324250,$60.16
-87.90158154,42.44311726,9324250,$27.54
-87.90151695,42.44277799,9324250,$88.91
-87.90174515,42.44223007,9324250,$129.70
-87.90177102,42.44161156,9324250,$121.23
-87.90180499,42.44104549,9324250,$118.88
-87.90087851,42.44073719,9324250,$74.10
-87.90007355,42.44268502,9324250,$123.82
-87.9000914,42.44192556,9324250,$131.35
-87.8999854,42.44127505,9324250,$95.27
-87.90006152,42.44079189,9324250,$94.56
-87.90196782,42.44021125,9323100,$380.32
-87.90313937,42.44005434,9323100,$328.16
-87.89926953,42.43228982,9380000,$46.37
-87.89886347,42.43224995,9380000,$18.55
-87.90173667,42.42922418,9325300,$372.31
-87.90348436,42.43546233,9325300,$237.43
-87.90298503,42.4354531,9325300,$218.51
-87.90248506,42.43544514,9325300,$239.65
-87.90198509,42.43543718,9325300,$76.87
-87.90148564,42.4354306,9325300,$397.95
-87.90026406,42.43572086,9325300,$280.20
-87.9002672,42.43536411,9325300,$331.87
-87.90027033,42.43500736,9325300,$244.45
-87.90027347,42.43465062,9325300,$230.13
-87.90027661,42.43429387,9325300,$331.29
-87.90027975,42.43393712,9325300,$254.47
-87.90028288,42.43358038,9325300,$296.68
-87.90028602,42.43322363,9325300,$246.61
-87.90028916,42.43286688,9325300,$208.30
-87.9002923,42.43251013,9325300,$258.47
-87.90029543,42.43215339,9325300,$308.40
-87.90029857,42.43179664,9325300,$378.03
-87.90030171,42.43143989,9325300,$295.75
-87.90030485,42.43108315,9325300,$267.50
-87.90030798,42.4307264,9325300,$297.56
-87.90031112,42.43036965,9325300,$299.55
-87.90031426,42.4300129,9325300,$261.78
-87.9003174,42.42965616,9325300,$281.52
-87.90082502,42.42911396,9325300,$240.58
-87.90032983,42.4291046,9325300,$238.89
-87.89982621,42.42909633,9325300,$282.92
-87.90318505,42.43462313,9325300,$249.86
-87.90319019,42.434267,9325300,$224.19
-87.90319342,42.43391025,9325300,$375.92
-87.90319666,42.43355351,9325300,$346.87
-87.9031999,42.43319676,9325300,$428.47
-87.90320314,42.43284001,9325300,$266.25
-87.90320637,42.43248327,9325300,$198.01
-87.90320961,42.43212652,9325300,$67.82
-87.90321284,42.43176978,9325300,$67.33
-87.90321608,42.43141303,9325300,$65.86
-87.90321932,42.43105629,9325300,$247.45
-87.90322255,42.43069954,9325300,$187.51
-87.90322579,42.4303428,9325300,$285.31
-87.90322903,42.42998605,9325300,$193.85
-87.90323226,42.42962931,9325300,$68.59
-87.90193872,42.43460344,9325300,$253.15
-87.90194016,42.4342471,9325300,$417.38
-87.9019434,42.43389035,9325300,$264.75
-87.90194665,42.43353361,9325300,$303.01
-87.90194989,42.43317686,9325300,$237.74
-87.90195314,42.43282012,9325300,$185.02
-87.90195638,42.43246337,9325300,$229.50
-87.90195962,42.43210662,9325300,$300.88
-87.90196287,42.43174988,9325300,$289.53
