lat,long,name
42.34655503,-87.96743016,$375.45
42.3427107,-87.96951655,$393.74
42.34818727,-87.97080891,$372.60
42.34542696,-87.96751391,$358.65
42.34095162,-87.96883742,$353.57
42.34396239,-87.97070735,$355.04
42.34540894,-87.96661113,$371.53
42.34355237,-87.97374864,$370.14
42.34155838,-87.96977079,$346.44
42.34405417,-87.96997383,$363.14
42.3464774,-87.96665132,$348.84
42.34577697,-87.9688331,$348.03
42.34568862,-87.96824107,$344.55
42.34490211,-87.96880489,$344.34
42.34550647,-87.96882488,$343.02
42.34413205,-87.97340877,$342.32
42.34094021,-87.96989872,$355.77
42.3435522,-87.97265832,$340.96
42.34400375,-87.97150986,$340.85
42.34529496,-87.96916046,$338.18
42.34418052,-87.97412614,$335.65
42.34581121,-87.96541931,$335.41
42.34760822,-87.97513149,$312.91
42.34650309,-87.96691444,$334.42
42.34540766,-87.97123966,$330.35
42.34411994,-87.97128291,$346.56
42.34816954,-87.96952303,$328.04
42.34540727,-87.96631602,$327.91
42.34302437,-87.9694963,$343.96
42.34620021,-87.96411,$325.25
42.34175272,-87.96884732,$315.36
42.34295854,-87.96879166,$317.79
42.34196804,-87.96884742,$313.52
42.34819884,-87.97255857,$317.26
42.34529089,-87.97147141,$316.72
42.34758056,-87.97023909,$315.38
42.34818704,-87.9701098,$315.17
42.3475902,-87.97254422,$310.78
42.34482011,-87.96558358,$327.91
42.34760673,-87.97736972,$327.73
42.34329179,-87.97074653,$327.50
42.34400861,-87.97486098,$304.60
42.34539349,-87.97022341,$303.42
42.34810289,-87.96910366,$302.87
42.34527402,-87.97045446,$301.50
42.34759863,-87.97482057,$316.83
42.34430125,-87.9687891,$302.50
42.34640171,-87.96586255,$383.34
42.34403704,-87.96949104,$294.36
42.34492346,-87.97114152,$505.57
42.34863903,-87.97508357,$326.24
42.34568993,-87.96964349,$321.76
42.34132466,-87.96884711,$298.57
42.34719988,-87.96771959,$434.22
42.34704571,-87.96690811,$311.23
42.34364934,-87.97441834,$395.00
42.34482431,-87.96697591,$389.23
42.34214423,-87.97023134,$379.75
42.34482964,-87.96424703,$382.96
42.34487623,-87.97566858,$375.08
42.34479239,-87.96468883,$389.85
42.34540024,-87.96512835,$349.29
42.34695164,-87.96412182,$370.73
42.34748416,-87.9661422,$370.50
42.34602071,-87.97147061,$367.80
42.34693198,-87.96503317,$367.25
42.34652791,-87.96717311,$363.05
42.34412951,-87.97372448,$362.79
42.3407883,-87.96937076,$373.24
42.34467461,-87.97268227,$365.18
42.34666147,-87.96410503,$353.00
42.34709512,-87.97533158,$330.08
42.34403554,-87.96879142,$369.77
42.34709665,-87.96717586,$350.87
42.34632338,-87.97095644,$351.13
42.34356496,-87.97074549,$350.86
42.34754551,-87.97550988,$350.55
42.34262023,-87.97076852,$363.03
42.34759622,-87.97450452,$348.99
42.34512224,-87.96891884,$348.33
42.34481727,-87.96503046,$347.71
42.34721504,-87.97391776,$345.92
42.34597574,-87.97580349,$345.68
42.3477108,-87.96716617,$320.49
42.34382089,-87.97468376,$341.96
42.34218857,-87.96885523,$341.13
42.34388693,-87.97173936,$340.89
42.34234205,-87.97056824,$347.84
42.34541248,-87.96720168,$358.49
42.34640964,-87.96410718,$339.06
42.34640684,-87.97019173,$338.42
42.34308599,-87.9707473,$338.35
42.34581732,-87.96660718,$337.87
42.34615919,-87.97019043,$337.27
42.34452472,-87.9701361,$336.89
42.34718967,-87.97444129,$335.96
42.34581428,-87.96601421,$335.60
42.34215093,-87.96984933,$330.87
42.34458073,-87.97305137,$343.26
42.3443796,-87.97099917,$334.03
42.34581883,-87.96690258,$333.77
42.34645011,-87.96639115,$333.54
42.34581019,-87.96751724,$333.52
42.34549381,-87.96823666,$333.40
42.34626204,-87.97203223,$333.03
42.34517405,-87.97338204,$332.81
42.34273099,-87.96996729,$350.63
42.34818578,-87.97053049,$330.91
42.34639932,-87.96884292,$330.50
42.34715093,-87.97475862,$328.62
42.34540532,-87.9660188,$328.50
42.34482613,-87.96725084,$327.91
42.34477756,-87.96966199,$327.76
42.34353348,-87.97300008,$327.03
42.34482073,-87.9661407,$345.40
42.34482178,-87.96586389,$344.79
42.34558121,-87.96411183,$325.75
42.3479188,-87.96841766,$325.61
42.34582029,-87.96719945,$325.35
42.34329342,-87.96998322,$324.99
42.34480823,-87.97137088,$324.35
42.34590475,-87.97169665,$324.28
42.34213673,-87.96952879,$338.31
42.346831,-87.96578786,$323.88
42.34541073,-87.96690587,$322.72
42.34481848,-87.96530625,$339.99
42.34543663,-87.97262113,$320.81
42.3449403,-87.97216472,$320.81
42.3443161,-87.96998856,$337.96
42.34563838,-87.97078474,$319.62
42.34482535,-87.9666958,$337.86
42.3464061,-87.96963869,$318.95
42.34620086,-87.9688444,$317.34
42.34421342,-87.97252086,$317.19
42.34588669,-87.96823773,$335.41
42.34599511,-87.96411005,$335.41
42.34690365,-87.97222786,$409.58
42.34578865,-87.97192545,$316.72
42.34519363,-87.97307805,$315.64
42.34508686,-87.96409562,$314.26
42.34819803,-87.97311386,$311.74
42.34376237,-87.97197342,$328.10
42.34760771,-87.9776465,$306.73
42.34635249,-87.96517932,$306.70
42.34134599,-87.96983006,$321.30
42.34457236,-87.97182975,$301.50
42.34288019,-87.97074807,$317.15
42.34818773,-87.97108735,$300.15
42.34694278,-87.9663695,$300.15
42.34613964,-87.97123626,$297.97
42.34757757,-87.96965603,$297.65
42.3435398,-87.9694921,$295.75
42.34555281,-87.97239145,$312.01
42.3437676,-87.96879083,$303.42
42.34540383,-87.9657219,$150.78
42.34759213,-87.97309909,$296.87
42.34760924,-87.97794881,$244.68
42.34356251,-87.97410385,$335.79
42.34718424,-87.97608576,$348.83
42.34757662,-87.9710639,$289.67
42.3561069,-87.99031377,$513.14
42.35493891,-87.99195562,$493.06
42.35665849,-87.98995868,$480.78
42.35503079,-87.99032274,$454.62
42.35666973,-87.99059524,$433.72
42.35627562,-87.9920523,$432.63
42.35668141,-87.99137531,$431.28
